START_LEVELS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TARGET_TYPE,TARGET_TYPE_AS_TEXT,TARGET_LIST_NUMBER,TARGET_ID,TARGET_PART_NUMBER,CHANNEL,PARAMETER_TYPE,PARAMETER_TYPE_AS_TEXT,LEVEL,LEVEL_REFERENCE_TYPE,LEVEL_REFERENCE_TYPE_AS_TEXT,LEVEL_REFERENCE_LIST_NUMBER,LEVEL_REFERENCE_ID,FADE_TIME,DELAY_TIME,MARK_CUE,TRACK_TYPE,EFFECT,,,,,,,,,,,,,,,,,,,
END_LEVELS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
START_TARGETS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TARGET_TYPE,TARGET_TYPE_AS_TEXT,TARGET_LIST_NUMBER,TARGET_ID,TARGET_DCID,PART_NUMBER,LABEL,TIME_DATA,UP_DELAY,DOWN_TIME,DOWN_DELAY,FOCUS_TIME,FOCUS_DELAY,COLOR_TIME,COLOR_DELAY,BEAM_TIME,BEAM_DELAY,DURATION,ALERT_TIME,MARK,BLOCK,ASSERT,ALL_FADE,PREHEAT,FOLLOW,LINK,LOOP,CURVE,RATE,EXTERNAL_LINKS,EFFECTS,MODE,CUE_NOTES,SCENE_TEXT,SCENE_END,WIDTH,HEIGHT
10,Effect,,901,8A039287-7A79-4B44-BDB7-7B1F9650B871,,Circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Effect,,902,47FEA210-0F63-447D-8D88-2A5D033EEF93,,Square,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Effect,,903,ABAD22EE-25AA-4B66-82CB-680647621785,,Figure 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Effect,,904,A38B0F01-B2CD-424C-83B9-35A1D3DF8A6C,,Can Can,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Effect,,905,ED2BB981-3421-4021-AEA0-208B03D93AE4,,Triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Effect,,906,5B3BCC6E-4478-4EE2-A2F6-975D631F501F,,Spiral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Effect,,907,CF021C0F-C3F3-4072-8766-0322F9C01AAF,,Reverse Sqr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Effect,,908,0DB7CAAB-4758-4404-948C-3AA048DA1AA0,,Reverse Circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Effect,,909,5D9451BF-98DD-4A92-9995-072F9695F1AE,,Ballyhoo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Effect,,910,D31E5635-FEAF-4FAC-9F28-0508325EBB4C,,Color Smooth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Effect,,911,F68B6259-E9FF-4308-9AE1-D3BB0E99B110,,Color Fade Linear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Effect,,912,5E5C337A-7FEC-4241-9B16-9095EE0A3925,,Color Step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Effect,,913,BCC2D11C-0275-4BCF-B74F-668F68803F0A,,Bump Color,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Effect,,914,760E84D9-F5C9-48AC-B273-E39D9E22D980,,Hue-Sat Fade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Effect,,915,A822E859-F49D-467F-A049-7E0673EDCAFC,,Ramp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Effect,,916,5BD80956-F8C3-4A39-BF5E-0AD55C15C6C9,,Inverted Ramp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Effect,,917,C098D512-E7D7-451C-BBB3-128B65A63A9D,,Rainbow RGB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Effect,,918,40D9B837-D4F4-4BCE-B6EB-1DA9EA9DD2BD,,Rainbow CMY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
