START_CHANNELS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHANNEL,FIXTURE_TYPE,MANUFACTURER,FIXTURE_DCID,SOURCE_DCID,PATCH_DCID,ADDRESS,LABEL,PROPORTION,CURVE,GEL,NOTES,TEXT1,TEXT2,TEXT3,TEXT4,TEXT5,TEXT6,TEXT7,TEXT8,TEXT9,TEXT10,LOCATION_X,LOCATION_Y,LOCATION_Z,ORIENTATION_X,ORIENTATION_Y,ORIENTATION_Z,PROCESSOR,,,,,,,,
3301,Sharpy_Wash_330_Standard,Clay_Paky,A3333B09-1B9A-D846-81D7-558512BFCA3F,,, 1/1<18,Sharpy Wash 330 #1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3302,Sharpy_Wash_330_Standard,Clay_Paky,A3333B09-1B9A-D846-81D7-558512BFCA3F,,, 1/19<36,Sharpy Wash 330 #2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3303,Sharpy_Wash_330_Standard,Clay_Paky,A3333B09-1B9A-D846-81D7-558512BFCA3F,,, 1/37<54,Sharpy Wash 330 #3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3304,Sharpy_Wash_330_Standard,Clay_Paky,A3333B09-1B9A-D846-81D7-558512BFCA3F,,, 1/55<72,Sharpy Wash 330 #4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3305,Sharpy_Wash_330_Standard,Clay_Paky,A3333B09-1B9A-D846-81D7-558512BFCA3F,,, 1/73<90,Sharpy Wash 330 #5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3306,Sharpy_Wash_330_Standard,Clay_Paky,A3333B09-1B9A-D846-81D7-558512BFCA3F,,, 1/91<108,Sharpy Wash 330 #6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3307,Sharpy_Wash_330_Standard,Clay_Paky,A3333B09-1B9A-D846-81D7-558512BFCA3F,,, 1/109<126,Sharpy Wash 330 #7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3308,Sharpy_Wash_330_Standard,Clay_Paky,A3333B09-1B9A-D846-81D7-558512BFCA3F,,, 1/127<144,Sharpy Wash 330 #8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3309,Sharpy_Wash_330_Standard,Clay_Paky,A3333B09-1B9A-D846-81D7-558512BFCA3F,,, 1/145<162,Sharpy Wash 330 #9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3310,Sharpy_Wash_330_Standard,Clay_Paky,A3333B09-1B9A-D846-81D7-558512BFCA3F,,, 1/163<180,Sharpy Wash 330 #10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
