Fixture_Index,Unit_Number,Manufacturer,Fixture_Type,Default_Mode,DMX_Channels,Color_Mixing_Engine,Category,Pan_Range,Tilt_Range,Deployment_Venue,Channel_Number,DMX_Universe,DMX_Address,Label_Notes
1,01,Claypaky,Claypaky Sharpy,Standard 16ch,16,Color_Wheel,Beam,540 deg,250 deg,Stardust Theater / Nightclubs,,,,Claypaky Sharpy #1
2,02,Claypaky,Claypaky Sharpy,Standard 16ch,16,Color_Wheel,Beam,540 deg,250 deg,Stardust Theater / Nightclubs,,,,Claypaky Sharpy #2
3,03,Claypaky,Claypaky Sharpy,Standard 16ch,16,Color_Wheel,Beam,540 deg,250 deg,Stardust Theater / Nightclubs,,,,Claypaky Sharpy #3
4,04,Claypaky,Claypaky Sharpy,Standard 16ch,16,Color_Wheel,Beam,540 deg,250 deg,Stardust Theater / Nightclubs,,,,Claypaky Sharpy #4
5,05,Claypaky,Claypaky Sharpy,Standard 16ch,16,Color_Wheel,Beam,540 deg,250 deg,Stardust Theater / Nightclubs,,,,Claypaky Sharpy #5
6,06,Claypaky,Claypaky Sharpy,Standard 16ch,16,Color_Wheel,Beam,540 deg,250 deg,Stardust Theater / Nightclubs,,,,Claypaky Sharpy #6
7,07,Claypaky,Claypaky Sharpy,Standard 16ch,16,Color_Wheel,Beam,540 deg,250 deg,Stardust Theater / Nightclubs,,,,Claypaky Sharpy #7
8,08,Claypaky,Claypaky Sharpy,Standard 16ch,16,Color_Wheel,Beam,540 deg,250 deg,Stardust Theater / Nightclubs,,,,Claypaky Sharpy #8
9,09,Claypaky,Claypaky Sharpy,Standard 16ch,16,Color_Wheel,Beam,540 deg,250 deg,Stardust Theater / Nightclubs,,,,Claypaky Sharpy #9
10,10,Claypaky,Claypaky Sharpy,Standard 16ch,16,Color_Wheel,Beam,540 deg,250 deg,Stardust Theater / Nightclubs,,,,Claypaky Sharpy #10
11,01,Claypaky,Claypaky HY B-Eye K15,Standard 35ch,35,RGBW Matrix,Wash / Effect,540 deg,210 deg,Prima Theater / Sensoria Nightclub,,,,Claypaky HY B-Eye K15 #1
12,02,Claypaky,Claypaky HY B-Eye K15,Standard 35ch,35,RGBW Matrix,Wash / Effect,540 deg,210 deg,Prima Theater / Sensoria Nightclub,,,,Claypaky HY B-Eye K15 #2
13,03,Claypaky,Claypaky HY B-Eye K15,Standard 35ch,35,RGBW Matrix,Wash / Effect,540 deg,210 deg,Prima Theater / Sensoria Nightclub,,,,Claypaky HY B-Eye K15 #3
14,04,Claypaky,Claypaky HY B-Eye K15,Standard 35ch,35,RGBW Matrix,Wash / Effect,540 deg,210 deg,Prima Theater / Sensoria Nightclub,,,,Claypaky HY B-Eye K15 #4
15,05,Claypaky,Claypaky HY B-Eye K15,Standard 35ch,35,RGBW Matrix,Wash / Effect,540 deg,210 deg,Prima Theater / Sensoria Nightclub,,,,Claypaky HY B-Eye K15 #5
16,06,Claypaky,Claypaky HY B-Eye K15,Standard 35ch,35,RGBW Matrix,Wash / Effect,540 deg,210 deg,Prima Theater / Sensoria Nightclub,,,,Claypaky HY B-Eye K15 #6
17,07,Claypaky,Claypaky HY B-Eye K15,Standard 35ch,35,RGBW Matrix,Wash / Effect,540 deg,210 deg,Prima Theater / Sensoria Nightclub,,,,Claypaky HY B-Eye K15 #7
18,08,Claypaky,Claypaky HY B-Eye K15,Standard 35ch,35,RGBW Matrix,Wash / Effect,540 deg,210 deg,Prima Theater / Sensoria Nightclub,,,,Claypaky HY B-Eye K15 #8
19,09,Claypaky,Claypaky HY B-Eye K15,Standard 35ch,35,RGBW Matrix,Wash / Effect,540 deg,210 deg,Prima Theater / Sensoria Nightclub,,,,Claypaky HY B-Eye K15 #9
20,10,Claypaky,Claypaky HY B-Eye K15,Standard 35ch,35,RGBW Matrix,Wash / Effect,540 deg,210 deg,Prima Theater / Sensoria Nightclub,,,,Claypaky HY B-Eye K15 #10
21,01,Claypaky,Claypaky Arolla Aqua LT,Standard 38ch,38,CMY + Linear CTO,Profile / Spot (IP66 Marine),540 deg,270 deg,Top Deck / Glow Parties / Aqua Park,,,,Claypaky Arolla Aqua LT #1
22,02,Claypaky,Claypaky Arolla Aqua LT,Standard 38ch,38,CMY + Linear CTO,Profile / Spot (IP66 Marine),540 deg,270 deg,Top Deck / Glow Parties / Aqua Park,,,,Claypaky Arolla Aqua LT #2
23,03,Claypaky,Claypaky Arolla Aqua LT,Standard 38ch,38,CMY + Linear CTO,Profile / Spot (IP66 Marine),540 deg,270 deg,Top Deck / Glow Parties / Aqua Park,,,,Claypaky Arolla Aqua LT #3
24,04,Claypaky,Claypaky Arolla Aqua LT,Standard 38ch,38,CMY + Linear CTO,Profile / Spot (IP66 Marine),540 deg,270 deg,Top Deck / Glow Parties / Aqua Park,,,,Claypaky Arolla Aqua LT #4
25,05,Claypaky,Claypaky Arolla Aqua LT,Standard 38ch,38,CMY + Linear CTO,Profile / Spot (IP66 Marine),540 deg,270 deg,Top Deck / Glow Parties / Aqua Park,,,,Claypaky Arolla Aqua LT #5
26,06,Claypaky,Claypaky Arolla Aqua LT,Standard 38ch,38,CMY + Linear CTO,Profile / Spot (IP66 Marine),540 deg,270 deg,Top Deck / Glow Parties / Aqua Park,,,,Claypaky Arolla Aqua LT #6
27,07,Claypaky,Claypaky Arolla Aqua LT,Standard 38ch,38,CMY + Linear CTO,Profile / Spot (IP66 Marine),540 deg,270 deg,Top Deck / Glow Parties / Aqua Park,,,,Claypaky Arolla Aqua LT #7
28,08,Claypaky,Claypaky Arolla Aqua LT,Standard 38ch,38,CMY + Linear CTO,Profile / Spot (IP66 Marine),540 deg,270 deg,Top Deck / Glow Parties / Aqua Park,,,,Claypaky Arolla Aqua LT #8
29,09,Claypaky,Claypaky Arolla Aqua LT,Standard 38ch,38,CMY + Linear CTO,Profile / Spot (IP66 Marine),540 deg,270 deg,Top Deck / Glow Parties / Aqua Park,,,,Claypaky Arolla Aqua LT #9
30,10,Claypaky,Claypaky Arolla Aqua LT,Standard 38ch,38,CMY + Linear CTO,Profile / Spot (IP66 Marine),540 deg,270 deg,Top Deck / Glow Parties / Aqua Park,,,,Claypaky Arolla Aqua LT #10
31,01,Claypaky,Claypaky Sinfonya Profile HP,Standard 44ch,44,RGBAL Engine,Theatrical Framing Profile,540 deg,270 deg,Main Stage Broadway Productions,,,,Claypaky Sinfonya Profile HP #1
32,02,Claypaky,Claypaky Sinfonya Profile HP,Standard 44ch,44,RGBAL Engine,Theatrical Framing Profile,540 deg,270 deg,Main Stage Broadway Productions,,,,Claypaky Sinfonya Profile HP #2
33,03,Claypaky,Claypaky Sinfonya Profile HP,Standard 44ch,44,RGBAL Engine,Theatrical Framing Profile,540 deg,270 deg,Main Stage Broadway Productions,,,,Claypaky Sinfonya Profile HP #3
34,04,Claypaky,Claypaky Sinfonya Profile HP,Standard 44ch,44,RGBAL Engine,Theatrical Framing Profile,540 deg,270 deg,Main Stage Broadway Productions,,,,Claypaky Sinfonya Profile HP #4
35,05,Claypaky,Claypaky Sinfonya Profile HP,Standard 44ch,44,RGBAL Engine,Theatrical Framing Profile,540 deg,270 deg,Main Stage Broadway Productions,,,,Claypaky Sinfonya Profile HP #5
36,06,Claypaky,Claypaky Sinfonya Profile HP,Standard 44ch,44,RGBAL Engine,Theatrical Framing Profile,540 deg,270 deg,Main Stage Broadway Productions,,,,Claypaky Sinfonya Profile HP #6
37,07,Claypaky,Claypaky Sinfonya Profile HP,Standard 44ch,44,RGBAL Engine,Theatrical Framing Profile,540 deg,270 deg,Main Stage Broadway Productions,,,,Claypaky Sinfonya Profile HP #7
38,08,Claypaky,Claypaky Sinfonya Profile HP,Standard 44ch,44,RGBAL Engine,Theatrical Framing Profile,540 deg,270 deg,Main Stage Broadway Productions,,,,Claypaky Sinfonya Profile HP #8
